Cluster,Treatment,Site,Camera,Lzeq,Laeq,Lux,Lat,Long,Elevation
Red,Noise,PT15,9,66.8,47.7,0,36.9683,-107.657646,
Red,Noise,PT15,10,69.7,52.7,0,36.968456,-107.657585,2097.308105
Pink,Control,CP10,1,67.4,41.1,0,36.96761699,-107.709903,2072.937744
Pink,Control,CP10,2,67.2,37.2,0,36.96792503,-107.709837,2071.87085
Pink,Control,CP10,3,66.5,40.2,0,36.96845502,-107.709448,2073.794922
Pink,Control,CP10,4,67.3,38,0,36.96866297,-107.709355,2075.28418
Pink,Control,CP10,5,63.4,31.4,0,36.96788203,-107.708041,2069.844238
Pink,Control,CP10,6,64,33.7,0,36.96782503,-107.707758,2070.706543
Pink,Control,CP10,7,63.4,33.9,0,36.96720896,-107.708416,2071.375488
Pink,Control,CP10,8,64.1,34.8,0,36.96731399,-107.708643,2073.971436
Pink,Control,CP10,9,66.1,44.5,0,36.96709396,-107.709471,2067.435059
Pink,Control,CP10,10,67.1,39.8,0,36.99618302,-107.709129,2015.406006
Pink,Noise,TP10,1,81.7,56.9,0,36.97469903,-107.704983,2041.63855
Pink,Noise,TP10,2,77.5,45.6,0,36.97482501,-107.705321,2040.634277
Pink,Noise,TP10,3,83.8,57.2,0,36.975427,-107.70453,2046.079102
Pink,Noise,TP10,4,80.5,52.9,0,36.97567502,-107.704465,2046.532715
Pink,Noise,TP10,5,76.7,45,0,36.97583696,-107.703706,2044.010498
Pink,Noise,TP10,6,80.2,49.8,0,36.97564702,-107.703768,2045.307495
Pink,Noise,TP10,7,81.4,57.5,0,36.97496097,-107.703339,2044.561279
Pink,Noise,TP10,8,79.6,50.8,0,36.97463499,-107.703116,2045.029297
Pink,Noise,TP10,9,77.3,49.8,0,36.97403904,-107.703449,2039.322266
Pink,Noise,TP10,10,80.6,55.8,0,36.97425202,-107.703677,2040.669189
Pink,Light,PC1,1,60,34.4,0,36.99694896,-107.708673,2023.299683
Pink,Light,PC1,2,68.7,40.4,0.03,36.997028,-107.708346,2027.54248
Pink,Light,PC1,3,60.6,34.4,0,36.99648896,-107.707843,2032.205933
Pink,Light,PC1,4,57.8,31.3,0.16,36.99641202,-107.707532,2031.452881
Pink,Light,PC1,5,58.1,32.8,0.07,36.99569302,-107.707755,2035.093628
Pink,Light,PC1,6,59.6,50.7,0.09,36.99560501,-107.707971,2027.785767
Pink,Light,PC1,7,64,39.4,0,36.99511701,-107.708827,2022.853882
Pink,Light,PC1,8,58.4,36.7,0.07,36.99526898,-107.709151,2020.428467
Pink,Light,PC1,9,56.9,42,0.53,36.99612703,-107.709066,2019.673096
Pink,Light,PC1,10,56.7,45.3,0.5,36.99618302,-107.709129,2015.406006
Pink,Combined,TP09,1,83.3,56.9,0.15,36.99740896,-107.685924,2038.369019
Pink,Combined,TP09,2,81.3,54.7,0.05,36.99720897,-107.685892,2037.064941
Pink,Combined,TP09,3,79.3,49.8,0.06,36.99762697,-107.684434,2048.008057
Pink,Combined,TP09,4,79,50,0.08,36.99780299,-107.684487,2045.13147
Pink,Combined,TP09,5,76.5,47.3,0.65,36.99925499,-107.684035,2030.235474
Pink,Combined,TP09,6,77.1,49.7,0.07,36.99937301,-107.684227,2027.551636
Pink,Combined,TP09,7,78.4,51.2,0.03,36.99872802,-107.686182,2029.883789
Pink,Combined,TP09,8,77.1,45.7,1.96,36.99883103,-107.686144,2029.935547
Pink,Combined,TP09,9,75,43.2,0.01,36.99831303,-107.687398,2019.465942
Pink,Combined,TP09,10,74,45.3,0.03,36.99838604,-107.687616,2020.592407
Orange,Light,CP04,1,64.1,60.3,0.15,36.90993,-107.71288,
Orange,Light,CP04,2,61.3,45.2,0.02,36.90977,-107.71288,
Orange,Light,CP04,3,61,42.6,0.47,36.90879,-107.71339,
Orange,Light,CP04,4,64,42.2,0,36.90855,-107.71329,
Orange,Light,CP04,5,61.4,41.1,0.2,36.90945,-107.71441,
Orange,Light,CP04,6,59.7,40.1,0.17,36.90965,-107.71444,
Orange,Light,CP04,7,62.7,37.9,0.18,36.91071,-107.71546,
Orange,Light,CP04,8,60.9,38,0.01,36.91059,-107.71535,
Orange,Light,CP04,9,60.3,39.8,1.05,36.91089,-107.71325,
Orange,Light,CP04,10,62.3,45.8,0.14,36.91102,-107.71326,
Orange,Combined,TP04,1,67.9,48,0,36.90779,-107.71039,
Orange,Combined,TP04,2,68.8,60.2,0.11,36.90778,-107.71061,
Orange,Combined,TP04,3,62.8,57.4,0.02,36.90912,-107.71091,
Orange,Combined,TP04,4,61.6,47.8,0.21,36.90916,-107.71061,
Orange,Combined,TP04,5,70.8,52.1,0.01,36.90865,-107.70936,
Orange,Combined,TP04,6,71.9,51.3,0.53,36.90863,-107.70923,
Orange,Combined,TP04,7,69.6,44.2,0.21,36.90754,-107.70879,
Orange,Combined,TP04,8,64.3,43.8,0.21,36.90756,-107.70858,
Orange,Combined,TP04,9,67.1,44.9,0.15,36.90714,-107.71018,
Orange,Combined,TP04,10,66.2,43,0.04,36.90715,-107.71047,
Orange,Noise,PC3,1,73.4,44.9,0,36.91777,-107.70075,
Orange,Noise,PC3,2,73.7,43.8,0,36.91793,-107.70084,
Orange,Noise,PC3,3,78,43.6,0,36.91748,-107.70198,
Orange,Noise,PC3,4,72.3,42.8,0,36.91732,-107.70216,
Orange,Noise,PC3,5,75.1,44.1,0,36.91627,-107.70203,
Orange,Noise,PC3,6,71.7,41,0,36.91611,-107.70226,
Orange,Noise,PC3,7,78.4,53.4,0,36.91599,-107.70065,
Orange,Noise,PC3,8,76.1,50.8,0,36.91576,-107.70064,
Orange,Noise,PC3,9,76.8,53.3,0,36.91714,-107.70003,
Orange,Noise,PC3,10,76.9,49.4,0,36.91724,-107.70027,
Orange,Control,CP06,1,66.4,42.9,0,36.90484,-107.68121,
Orange,Control,CP06,2,67.7,42.8,0,36.90483,-107.68142,
Orange,Control,CP06,3,74.8,37.6,0,36.90486,-107.67967,
Orange,Control,CP06,4,74.5,38.2,0,36.90456,-107.67962,
Orange,Control,CP06,5,78,36.5,0,36.90588,-107.67921,
Orange,Control,CP06,6,74.6,36.5,0,36.90602,-107.67905,
Orange,Control,CP06,7,78.4,47.2,0,36.90606,-107.68031,
Orange,Control,CP06,8,63.4,39.4,0,36.90675,-107.68057,
Orange,Control,CP06,9,74.3,40.3,0,36.90561,-107.68134,
Orange,Control,CP06,10,63.5,45.3,0,36.90597,-107.68152,
Yellow,Light,CP12,1,76.9,42.7,0.01,36.89391701,-107.676618,1983.367676
Yellow,Light,CP12,2,64.3,37.8,0.02,36.893957,-107.676841,1980.737183
Yellow,Light,CP12,3,62.6,40.7,0,36.89453803,-107.675738,1980.193115
Yellow,Light,CP12,4,63.4,43.2,0.14,36.89471204,-107.675932,1981.420044
Yellow,Light,CP12,5,63,42.9,0.17,36.893655,-107.675032,1967.27417
Yellow,Light,CP12,6,67.1,59.4,0,36.89356598,-107.674842,1966.196167
Yellow,Light,CP12,7,70.6,38.5,0.34,36.89237801,-107.674174,1971.955688
Yellow,Light,CP12,8,68,40,0.17,36.89223703,-107.674265,1974.718628
Yellow,Light,CP12,9,61.7,40.4,0.08,36.89261103,-107.67672,1974.270142
Yellow,Light,CP12,10,73.8,42.2,0,36.89246301,-107.676892,1974.184326
Yellow,Combined,PT11,1,80.2,46.1,0.27,36.90217998,-107.71255,1953.404053
Yellow,Combined,PT11,2,77.7,38.6,0.1,36.90220504,-107.712722,1951.635132
Yellow,Combined,PT11,3,73.9,38.5,0.05,36.90167698,-107.713129,1949.243408
Yellow,Combined,PT11,4,72.3,38.9,0.19,36.90148403,-107.713104,1952.583496
Yellow,Combined,PT11,5,73.4,44.4,0.04,36.90129602,-107.712578,1953.16748
Yellow,Combined,PT11,6,74.6,47.6,0.3,36.90118597,-107.712411,1955.114136
Yellow,Combined,PT11,7,75.9,48.4,1.3,36.90125898,-107.7115,1960.150513
Yellow,Combined,PT11,8,78.5,49.2,0.06,36.901392,-107.711337,1957.996704
Yellow,Combined,PT11,9,79.2,44.6,0.09,36.90263797,-107.71157,1963.943481
Yellow,Combined,PT11,10,77.4,42.6,0.04,36.90284299,-107.711572,1966.817871
Yellow,Noise,TP11,1,71.8,46.5,0,36.88867296,-107.710909,1973.479492
Yellow,Noise,TP11,2,72,45.3,0,36.88888804,-107.711025,1979.316528
Yellow,Noise,TP11,3,79.7,46.9,0,36.88955398,-107.711893,1969.495605
Yellow,Noise,TP11,4,69.7,42.9,0,36.88959396,-107.712153,1969.897339
Yellow,Noise,TP11,5,69,41.5,0,36.88898896,-107.713122,1965.88147
Yellow,Noise,TP11,6,71.8,40.3,0,36.88878997,-107.713221,1971.357056
Yellow,Noise,TP11,7,70.3,47.8,0,36.88785103,-107.712869,1970.737305
Yellow,Noise,TP11,8,68.1,47,0,36.88769002,-107.712671,1971.334595
Yellow,Noise,TP11,9,68.3,43.7,0,36.88739698,-107.711579,1959.468506
Yellow,Noise,TP11,10,81.5,46,0,36.88729003,-107.711345,1959.388184
Yellow,Control,CP11,1,62.5,60.2,0,36.88536001,-107.717687,1937.166138
Yellow,Control,CP11,2,65.5,60.3,0,36.88523403,-107.717845,1933.113647
